,ts_name,run,forecast_type,error_metric,error,level
207,VIC-Male-Remanded,1,adjusted,SMAPE,11.79916055297232,4
208,VIC-Male-Sentenced,1,original,MASE,6.254298226270447,4
209,VIC-Male-Sentenced,1,adjusted,MASE,6.823205240174673,4
210,VIC-Male-Sentenced,1,original,SMAPE,10.208864088153716,4
211,VIC-Male-Sentenced,1,adjusted,SMAPE,11.088753389617956,4
212,WA-Female-Remanded,1,original,MASE,4.4349225917014286,4
213,WA-Female-Remanded,1,adjusted,MASE,3.3484871078431375,4
214,WA-Female-Remanded,1,original,SMAPE,20.32890939189344,4
215,WA-Female-Remanded,1,adjusted,SMAPE,14.700737647484107,4
216,WA-Female-Sentenced,1,original,MASE,1.1336137999412397,4
217,WA-Female-Sentenced,1,adjusted,MASE,1.272803288626609,4
218,WA-Female-Sentenced,1,original,SMAPE,3.5448317249866053,4
219,WA-Female-Sentenced,1,adjusted,SMAPE,3.9804349861403234,4
220,WA-Male-Remanded,1,original,MASE,5.691884680803637,4
221,WA-Male-Remanded,1,adjusted,MASE,6.28806825,4
222,WA-Male-Remanded,1,original,SMAPE,13.839741659829993,4
223,WA-Male-Remanded,1,adjusted,SMAPE,15.512443623056466,4
224,WA-Male-Sentenced,1,original,MASE,1.6417475267442558,4
225,WA-Male-Sentenced,1,adjusted,MASE,1.0991962500000005,4
226,WA-Male-Sentenced,1,original,SMAPE,2.794402887571421,4
227,WA-Male-Sentenced,1,adjusted,SMAPE,1.8545391037153178,4
228,ACT-Female-Remanded-ATSI,1,original,MASE,3.2658298124276715,5
229,ACT-Female-Remanded-ATSI,1,adjusted,MASE,4.5910636893225,5
230,ACT-Female-Remanded-ATSI,1,original,SMAPE,83.31761903256272,5
231,ACT-Female-Remanded-ATSI,1,adjusted,SMAPE,163.32628615129502,5
232,ACT-Female-Remanded-Non-ATSI,1,original,MASE,1.6552970966954859,5
233,ACT-Female-Remanded-Non-ATSI,1,adjusted,MASE,0.7099259645833333,5
234,ACT-Female-Remanded-Non-ATSI,1,original,SMAPE,39.17284743927143,5
235,ACT-Female-Remanded-Non-ATSI,1,adjusted,SMAPE,14.442164536787377,5
236,ACT-Female-Sentenced-ATSI,1,original,MASE,2.73,5
237,ACT-Female-Sentenced-ATSI,1,adjusted,MASE,4.5049959513,5
238,ACT-Female-Sentenced-ATSI,1,original,SMAPE,60.0,5
239,ACT-Female-Sentenced-ATSI,1,adjusted,SMAPE,134.74897014243638,5
240,ACT-Female-Sentenced-Non-ATSI,1,original,MASE,1.1914524689944612,5
241,ACT-Female-Sentenced-Non-ATSI,1,adjusted,MASE,1.0818984347826088,5
242,ACT-Female-Sentenced-Non-ATSI,1,original,SMAPE,22.205494009410582,5
243,ACT-Female-Sentenced-Non-ATSI,1,adjusted,SMAPE,19.84731456897179,5
244,ACT-Male-Remanded-ATSI,1,original,MASE,4.654030011960181,5
245,ACT-Male-Remanded-ATSI,1,adjusted,MASE,6.050727737215909,5
246,ACT-Male-Remanded-ATSI,1,original,SMAPE,49.91652234591213,5
247,ACT-Male-Remanded-ATSI,1,adjusted,SMAPE,70.5086970160082,5
248,ACT-Male-Remanded-Non-ATSI,1,original,MASE,3.12,5
249,ACT-Male-Remanded-Non-ATSI,1,adjusted,MASE,3.6103082836363636,5
250,ACT-Male-Remanded-Non-ATSI,1,original,SMAPE,25.619394069382235,5
251,ACT-Male-Remanded-Non-ATSI,1,adjusted,SMAPE,30.48492958798731,5
252,ACT-Male-Sentenced-ATSI,1,original,MASE,2.335084033615936,5
253,ACT-Male-Sentenced-ATSI,1,adjusted,MASE,1.6073366186974793,5
254,ACT-Male-Sentenced-ATSI,1,original,SMAPE,13.381505245019568,5
255,ACT-Male-Sentenced-ATSI,1,adjusted,SMAPE,9.283616918921428,5
256,ACT-Male-Sentenced-Non-ATSI,1,original,MASE,1.3283005617977528,5
257,ACT-Male-Sentenced-Non-ATSI,1,adjusted,MASE,1.325761042837079,5
258,ACT-Male-Sentenced-Non-ATSI,1,original,SMAPE,6.239041631459551,5
259,ACT-Male-Sentenced-Non-ATSI,1,adjusted,SMAPE,6.22697590242192,5
260,NSW-Female-Remanded-ATSI,1,original,MASE,6.392116182572614,5
261,NSW-Female-Remanded-ATSI,1,adjusted,MASE,5.4488427230290455,5
262,NSW-Female-Remanded-ATSI,1,original,SMAPE,42.19590324075916,5
263,NSW-Female-Remanded-ATSI,1,adjusted,SMAPE,34.731185522851064,5
264,NSW-Female-Remanded-Non-ATSI,1,original,MASE,12.404693595424698,5
265,NSW-Female-Remanded-Non-ATSI,1,adjusted,MASE,11.711551926020407,5
266,NSW-Female-Remanded-Non-ATSI,1,original,SMAPE,46.21687210454814,5
267,NSW-Female-Remanded-Non-ATSI,1,adjusted,SMAPE,42.95114413236455,5
268,NSW-Female-Sentenced-ATSI,1,original,MASE,3.5214729172065526,5
269,NSW-Female-Sentenced-ATSI,1,adjusted,MASE,2.638575433526012,5
270,NSW-Female-Sentenced-ATSI,1,original,SMAPE,17.9113800643155,5
271,NSW-Female-Sentenced-ATSI,1,adjusted,SMAPE,13.025119533916097,5
272,NSW-Female-Sentenced-Non-ATSI,1,original,MASE,2.383376411330594,5
273,NSW-Female-Sentenced-Non-ATSI,1,adjusted,MASE,1.7581898996746201,5
274,NSW-Female-Sentenced-Non-ATSI,1,original,SMAPE,7.98128663977397,5
275,NSW-Female-Sentenced-Non-ATSI,1,adjusted,SMAPE,5.806043867216999,5
276,NSW-Male-Remanded-ATSI,1,original,MASE,4.594497177721587,5
277,NSW-Male-Remanded-ATSI,1,adjusted,MASE,3.7421695393120396,5
278,NSW-Male-Remanded-ATSI,1,original,SMAPE,20.142158612763676,5
279,NSW-Male-Remanded-ATSI,1,adjusted,SMAPE,16.08103210739811,5
280,NSW-Male-Remanded-Non-ATSI,1,original,MASE,12.096973565747602,5
281,NSW-Male-Remanded-Non-ATSI,1,adjusted,MASE,11.61537118902439,5
282,NSW-Male-Remanded-Non-ATSI,1,original,SMAPE,27.64622439017348,5
283,NSW-Male-Remanded-Non-ATSI,1,adjusted,SMAPE,26.38392749444913,5
284,NSW-Male-Sentenced-ATSI,1,original,MASE,5.5367892082190675,5
285,NSW-Male-Sentenced-ATSI,1,adjusted,MASE,3.5090815740740746,5
286,NSW-Male-Sentenced-ATSI,1,original,SMAPE,9.62470594872913,5
287,NSW-Male-Sentenced-ATSI,1,adjusted,SMAPE,5.974792778641315,5
288,NSW-Male-Sentenced-Non-ATSI,1,original,MASE,4.986873550234342,5
289,NSW-Male-Sentenced-Non-ATSI,1,adjusted,MASE,4.0778910231057495,5
290,NSW-Male-Sentenced-Non-ATSI,1,original,SMAPE,5.371788383974886,5
291,NSW-Male-Sentenced-Non-ATSI,1,adjusted,SMAPE,4.367705079634266,5
292,NT-Female-Remanded-ATSI,1,original,MASE,2.081215245678962,5
293,NT-Female-Remanded-ATSI,1,adjusted,MASE,2.022632295112782,5
294,NT-Female-Remanded-ATSI,1,original,SMAPE,18.74325538000436,5
295,NT-Female-Remanded-ATSI,1,adjusted,SMAPE,18.300465139430173,5
296,NT-Female-Remanded-Non-ATSI,1,original,MASE,5.27027027027027,5
297,NT-Female-Remanded-Non-ATSI,1,adjusted,MASE,5.878462766554055,5
298,NT-Female-Remanded-Non-ATSI,1,original,SMAPE,71.7792501616031,5
299,NT-Female-Remanded-Non-ATSI,1,adjusted,SMAPE,84.59765662372007,5
300,NT-Female-Sentenced-ATSI,1,original,MASE,3.1376047584180515,5
301,NT-Female-Sentenced-ATSI,1,adjusted,MASE,3.5697991875000015,5
302,NT-Female-Sentenced-ATSI,1,original,SMAPE,14.48126955883827,5
303,NT-Female-Sentenced-ATSI,1,adjusted,SMAPE,16.755252535538446,5
304,NT-Female-Sentenced-Non-ATSI,1,original,MASE,3.7279411764705883,5
305,NT-Female-Sentenced-Non-ATSI,1,adjusted,MASE,5.384430474264706,5
306,NT-Female-Sentenced-Non-ATSI,1,original,SMAPE,34.64478313448565,5
307,NT-Female-Sentenced-Non-ATSI,1,adjusted,SMAPE,60.058061448820645,5
308,NT-Male-Remanded-ATSI,1,original,MASE,1.5036945812807911,5
309,NT-Male-Remanded-ATSI,1,adjusted,MASE,1.4865201816502458,5
310,NT-Male-Remanded-ATSI,1,original,SMAPE,8.581465965438584,5
311,NT-Male-Remanded-ATSI,1,adjusted,SMAPE,8.488378235553345,5
312,NT-Male-Remanded-Non-ATSI,1,original,MASE,0.9961956521739129,5
313,NT-Male-Remanded-Non-ATSI,1,adjusted,MASE,0.9965385342391303,5
314,NT-Male-Remanded-Non-ATSI,1,original,SMAPE,7.882037147286977,5
315,NT-Male-Remanded-Non-ATSI,1,adjusted,SMAPE,7.884821674373693,5
316,NT-Male-Sentenced-ATSI,1,original,MASE,1.2354186265302183,5
317,NT-Male-Sentenced-ATSI,1,adjusted,MASE,1.072940355126999,5
318,NT-Male-Sentenced-ATSI,1,original,SMAPE,3.6299979024313007,5
319,NT-Male-Sentenced-ATSI,1,adjusted,SMAPE,3.170766141275605,5
320,NT-Male-Sentenced-Non-ATSI,1,original,MASE,2.7331967213114754,5
321,NT-Male-Sentenced-Non-ATSI,1,adjusted,MASE,4.2177224508196725,5
322,NT-Male-Sentenced-Non-ATSI,1,original,SMAPE,13.857282697231794,5
323,NT-Male-Sentenced-Non-ATSI,1,adjusted,SMAPE,22.309704626947315,5
324,QLD-Female-Remanded-ATSI,1,original,MASE,3.6850393700787403,5
325,QLD-Female-Remanded-ATSI,1,adjusted,MASE,3.2733360620078735,5
326,QLD-Female-Remanded-ATSI,1,original,SMAPE,18.98153613581272,5
327,QLD-Female-Remanded-ATSI,1,adjusted,SMAPE,16.69806108399371,5
328,QLD-Female-Remanded-Non-ATSI,1,original,MASE,6.992142857142857,5
329,QLD-Female-Remanded-Non-ATSI,1,adjusted,MASE,6.202287724285714,5
330,QLD-Female-Remanded-Non-ATSI,1,original,SMAPE,24.83990981826337,5
331,QLD-Female-Remanded-Non-ATSI,1,adjusted,SMAPE,21.669616660315803,5
332,QLD-Female-Sentenced-ATSI,1,original,MASE,3.335807817448265,5
333,QLD-Female-Sentenced-ATSI,1,adjusted,MASE,4.414888818493152,5
334,QLD-Female-Sentenced-ATSI,1,original,SMAPE,13.830054436747046,5
335,QLD-Female-Sentenced-ATSI,1,adjusted,SMAPE,17.863813341675254,5
336,QLD-Female-Sentenced-Non-ATSI,1,original,MASE,3.2872605634250203,5
337,QLD-Female-Sentenced-Non-ATSI,1,adjusted,MASE,4.12963723880597,5
338,QLD-Female-Sentenced-Non-ATSI,1,original,SMAPE,12.028314130100826,5
339,QLD-Female-Sentenced-Non-ATSI,1,adjusted,SMAPE,14.858499403217518,5
340,QLD-Male-Remanded-ATSI,1,original,MASE,3.8352631251504072,5
341,QLD-Male-Remanded-ATSI,1,adjusted,MASE,2.9174737757201643,5
342,QLD-Male-Remanded-ATSI,1,original,SMAPE,15.137603810135882,5
343,QLD-Male-Remanded-ATSI,1,adjusted,SMAPE,11.176603245225444,5
344,QLD-Male-Remanded-Non-ATSI,1,original,MASE,10.04404761904762,5
345,QLD-Male-Remanded-Non-ATSI,1,adjusted,MASE,8.709653333333334,5
346,QLD-Male-Remanded-Non-ATSI,1,original,SMAPE,19.256087003831897,5
347,QLD-Male-Remanded-Non-ATSI,1,adjusted,SMAPE,16.380412290290515,5
348,QLD-Male-Sentenced-ATSI,1,original,MASE,2.7242016952400636,5
349,QLD-Male-Sentenced-ATSI,1,adjusted,MASE,4.427092161016948,5
350,QLD-Male-Sentenced-ATSI,1,original,SMAPE,5.086111049373808,5
351,QLD-Male-Sentenced-ATSI,1,adjusted,SMAPE,8.12738016224739,5
352,QLD-Male-Sentenced-Non-ATSI,1,original,MASE,2.474525381448604,5
353,QLD-Male-Sentenced-Non-ATSI,1,adjusted,MASE,1.5753354109211246,5
354,QLD-Male-Sentenced-Non-ATSI,1,original,SMAPE,3.4731213599712345,5
355,QLD-Male-Sentenced-Non-ATSI,1,adjusted,SMAPE,2.1905296628576805,5
356,SA-Female-Remanded-ATSI,1,original,MASE,2.3562499999999997,5
357,SA-Female-Remanded-ATSI,1,adjusted,MASE,1.6644124656250001,5
358,SA-Female-Remanded-ATSI,1,original,SMAPE,28.089165793167158,5
359,SA-Female-Remanded-ATSI,1,adjusted,SMAPE,18.800268484025036,5
360,SA-Female-Remanded-Non-ATSI,1,original,MASE,3.8257286674260422,5
361,SA-Female-Remanded-Non-ATSI,1,adjusted,MASE,3.922868368421053,5
362,SA-Female-Remanded-Non-ATSI,1,original,SMAPE,23.729872217651327,5
363,SA-Female-Remanded-Non-ATSI,1,adjusted,SMAPE,24.495276728796046,5
364,SA-Female-Sentenced-ATSI,1,original,MASE,1.7023809523809523,5
365,SA-Female-Sentenced-ATSI,1,adjusted,MASE,2.0173694821428567,5
366,SA-Female-Sentenced-ATSI,1,original,SMAPE,12.886125093828356,5
367,SA-Female-Sentenced-ATSI,1,adjusted,SMAPE,15.048369006676229,5
368,SA-Female-Sentenced-Non-ATSI,1,original,MASE,2.28515625,5
369,SA-Female-Sentenced-Non-ATSI,1,adjusted,MASE,3.017234124023437,5
370,SA-Female-Sentenced-Non-ATSI,1,original,SMAPE,10.19395942174384,5
371,SA-Female-Sentenced-Non-ATSI,1,adjusted,SMAPE,13.21598596241452,5
372,SA-Male-Remanded-ATSI,1,original,MASE,2.5523466466359963,5
373,SA-Male-Remanded-ATSI,1,adjusted,MASE,1.5725916796874997,5
374,SA-Male-Remanded-ATSI,1,original,SMAPE,10.878610312391618,5
375,SA-Male-Remanded-ATSI,1,adjusted,SMAPE,6.445584311878511,5
376,SA-Male-Remanded-Non-ATSI,1,original,MASE,4.972491891819163,5
377,SA-Male-Remanded-Non-ATSI,1,adjusted,MASE,4.694642081202046,5
378,SA-Male-Remanded-Non-ATSI,1,original,SMAPE,13.90650613202633,5
379,SA-Male-Remanded-Non-ATSI,1,adjusted,SMAPE,13.085067230449884,5
380,SA-Male-Sentenced-ATSI,1,original,MASE,2.999999999994509,5
381,SA-Male-Sentenced-ATSI,1,adjusted,MASE,4.311954588994566,5
382,SA-Male-Sentenced-ATSI,1,original,SMAPE,8.133747944034338,5
383,SA-Male-Sentenced-ATSI,1,adjusted,SMAPE,11.472982233370722,5
384,SA-Male-Sentenced-Non-ATSI,1,original,MASE,2.31728356336424,5
385,SA-Male-Sentenced-Non-ATSI,1,adjusted,MASE,2.878712578419073,5
386,SA-Male-Sentenced-Non-ATSI,1,original,SMAPE,3.4557518019347095,5
